customerid,is_male,is_senior,has_partner,has_dependents,tenure,has_phone_service,has_multiple_lines,internetservice,has_internet,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,is_paperless,paymentmethod,monthlycharges,totalcharges,churn
7590-VHVEG,f,f,t,f,1,f,,DSL,t,No,Yes,No,No,No,No,Month-to-month,t,Electronic check,29.85,29.85,f
5575-GNVDE,t,f,f,f,34,t,f,DSL,t,Yes,No,Yes,No,No,No,One year,f,Mailed check,56.95,1889.50,f
3668-QPYBK,t,f,f,f,2,t,f,DSL,t,Yes,Yes,No,No,No,No,Month-to-month,t,Mailed check,53.85,108.15,t
7795-CFOCW,t,f,f,f,45,f,,DSL,t,Yes,No,Yes,Yes,No,No,One year,f,Bank transfer (automatic),42.30,1840.75,f
9237-HQITU,f,f,f,f,2,t,f,Fiber optic,t,No,No,No,No,No,No,Month-to-month,t,Electronic check,70.70,151.65,t
9305-CDSKC,f,f,f,f,8,t,t,Fiber optic,t,No,No,Yes,No,Yes,Yes,Month-to-month,t,Electronic check,99.65,820.50,t
1452-KIOVK,t,f,f,t,22,t,t,Fiber optic,t,No,Yes,No,No,Yes,No,Month-to-month,t,Credit card (automatic),89.10,1949.40,f
6713-OKOMC,f,f,f,f,10,f,,DSL,t,Yes,No,No,No,No,No,Month-to-month,f,Mailed check,29.75,301.90,f
7892-POOKP,f,f,t,f,28,t,t,Fiber optic,t,No,No,Yes,Yes,Yes,Yes,Month-to-month,t,Electronic check,104.80,3046.05,t
6388-TABGU,t,f,f,t,62,t,f,DSL,t,Yes,Yes,No,No,No,No,One year,f,Bank transfer (automatic),56.15,3487.95,f
9763-GRSKD,t,f,t,t,13,t,f,DSL,t,Yes,No,No,No,No,No,Month-to-month,t,Mailed check,49.95,587.45,f
7469-LKBCI,t,f,f,f,16,t,f,No,f,,,,,,,Two year,f,Credit card (automatic),18.95,326.80,f
8091-TTVAX,t,f,t,f,58,t,t,Fiber optic,t,No,No,Yes,No,Yes,Yes,One year,f,Credit card (automatic),100.35,5681.10,f
0280-XJGEX,t,f,f,f,49,t,t,Fiber optic,t,No,Yes,Yes,No,Yes,Yes,Month-to-month,t,Bank transfer (automatic),103.70,5036.30,t
5129-JLPIS,t,f,f,f,25,t,f,Fiber optic,t,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,t,Electronic check,105.50,2686.05,f
3655-SNQYZ,f,f,t,t,69,t,t,Fiber optic,t,Yes,Yes,Yes,Yes,Yes,Yes,Two year,f,Credit card (automatic),113.25,7895.15,f
8191-XWSZG,f,f,f,f,52,t,f,No,f,,,,,,,One year,f,Mailed check,20.65,1022.95,f
9959-WOFKT,t,f,f,t,71,t,t,Fiber optic,t,Yes,No,Yes,No,Yes,Yes,Two year,f,Bank transfer (automatic),106.70,7382.25,f
4190-MFLUW,f,f,t,t,10,t,f,DSL,t,No,No,Yes,Yes,No,No,Month-to-month,f,Credit card (automatic),55.20,528.35,t
4183-MYFRB,f,f,f,f,21,t,f,Fiber optic,t,No,Yes,Yes,No,No,Yes,Month-to-month,t,Electronic check,90.05,1862.90,f
8779-QRDMV,t,t,f,f,1,f,,DSL,t,No,No,Yes,No,No,Yes,Month-to-month,t,Electronic check,39.65,39.65,t
1680-VDCWW,t,f,t,f,12,t,f,No,f,,,,,,,One year,f,Bank transfer (automatic),19.80,202.25,f
1066-JKSGK,t,f,f,f,1,t,f,No,f,,,,,,,Month-to-month,f,Mailed check,20.15,20.15,t
3638-WEABW,f,f,t,f,58,t,t,DSL,t,No,Yes,No,Yes,No,No,Two year,t,Credit card (automatic),59.90,3505.10,f
6322-HRPFA,t,f,t,t,49,t,f,DSL,t,Yes,Yes,No,Yes,No,No,Month-to-month,f,Credit card (automatic),59.60,2970.30,f
6865-JZNKO,f,f,f,f,30,t,f,DSL,t,Yes,Yes,No,No,No,No,Month-to-month,t,Bank transfer (automatic),55.30,1530.60,f
6467-CHFZW,t,f,t,t,47,t,t,Fiber optic,t,No,Yes,No,No,Yes,Yes,Month-to-month,t,Electronic check,99.35,4749.15,t
8665-UTDHZ,t,f,t,t,1,f,,DSL,t,No,Yes,No,No,No,No,Month-to-month,f,Electronic check,30.20,30.20,t
5248-YGIJN,t,f,t,f,72,t,t,DSL,t,Yes,Yes,Yes,Yes,Yes,Yes,Two year,t,Credit card (automatic),90.25,6369.45,f
8773-HHUOZ,f,f,f,t,17,t,f,DSL,t,No,No,No,No,Yes,Yes,Month-to-month,t,Mailed check,64.70,1093.10,t
3841-NFECX,f,t,t,f,71,t,t,Fiber optic,t,Yes,Yes,Yes,Yes,No,No,Two year,t,Credit card (automatic),96.35,6766.95,f
4929-XIHVW,t,t,t,f,2,t,f,Fiber optic,t,No,No,Yes,No,Yes,Yes,Month-to-month,t,Credit card (automatic),95.50,181.65,f
6827-IEAUQ,f,f,t,t,27,t,f,DSL,t,Yes,Yes,Yes,Yes,No,No,One year,f,Mailed check,66.15,1874.45,f
7310-EGVHZ,t,f,f,f,1,t,f,No,f,,,,,,,Month-to-month,f,Bank transfer (automatic),20.20,20.20,f
3413-BMNZE,t,t,f,f,1,t,f,DSL,t,No,No,No,No,No,No,Month-to-month,f,Bank transfer (automatic),45.25,45.25,f
6234-RAAPL,f,f,t,t,72,t,t,Fiber optic,t,Yes,Yes,No,Yes,Yes,No,Two year,f,Bank transfer (automatic),99.90,7251.70,f
6047-YHPVI,t,f,f,f,5,t,f,Fiber optic,t,No,No,No,No,No,No,Month-to-month,t,Electronic check,69.70,316.90,t
6572-ADKRS,f,f,f,f,46,t,f,Fiber optic,t,No,No,Yes,No,No,No,Month-to-month,t,Credit card (automatic),74.80,3548.30,f
5380-WJKOV,t,f,f,f,34,t,t,Fiber optic,t,No,Yes,Yes,No,Yes,Yes,Month-to-month,t,Electronic check,106.35,3549.25,t
8168-UQWWF,f,f,f,f,11,t,t,Fiber optic,t,No,No,Yes,No,Yes,Yes,Month-to-month,t,Bank transfer (automatic),97.85,1105.40,t
8865-TNMNX,t,f,t,t,10,t,f,DSL,t,No,Yes,No,No,No,No,One year,f,Mailed check,49.55,475.70,f
9489-DEDVP,f,f,t,t,70,t,t,DSL,t,Yes,Yes,No,No,Yes,No,Two year,t,Credit card (automatic),69.20,4872.35,f
9867-JCZSP,f,f,t,t,17,t,f,No,f,,,,,,,One year,f,Mailed check,20.75,418.25,f
4671-VJLCL,f,f,f,f,63,t,t,DSL,t,Yes,Yes,Yes,Yes,Yes,No,Two year,t,Credit card (automatic),79.85,4861.45,f
4080-IIARD,f,f,t,f,13,t,t,DSL,t,Yes,Yes,No,Yes,Yes,No,Month-to-month,t,Electronic check,76.20,981.45,f
3714-NTNFO,f,f,f,f,49,t,t,Fiber optic,t,No,No,No,No,No,Yes,Month-to-month,t,Electronic check,84.50,3906.70,f
5948-UJZLF,t,f,f,f,2,t,f,DSL,t,No,Yes,No,No,No,No,Month-to-month,f,Mailed check,49.25,97.00,f
7760-OYPDY,f,f,f,f,2,t,f,Fiber optic,t,No,No,No,No,Yes,No,Month-to-month,t,Electronic check,80.65,144.15,t
7639-LIAYI,t,f,f,f,52,t,t,DSL,t,Yes,No,No,Yes,Yes,Yes,Two year,t,Credit card (automatic),79.75,4217.80,f
2954-PIBKO,f,f,t,t,69,t,t,DSL,t,Yes,No,Yes,Yes,No,No,Two year,t,Credit card (automatic),64.15,4254.10,f
8012-SOUDQ,f,t,f,f,43,t,t,Fiber optic,t,No,Yes,No,No,Yes,No,Month-to-month,t,Electronic check,90.25,3838.75,f
9420-LOJKX,f,f,f,f,15,t,f,Fiber optic,t,Yes,Yes,No,No,Yes,Yes,Month-to-month,t,Credit card (automatic),99.10,1426.40,t
6575-SUVOI,f,t,t,f,25,t,t,DSL,t,Yes,No,No,Yes,Yes,No,Month-to-month,t,Credit card (automatic),69.50,1752.65,f
7495-OOKFY,f,t,t,f,8,t,t,Fiber optic,t,No,Yes,No,No,No,No,Month-to-month,t,Credit card (automatic),80.65,633.30,t
4667-QONEA,f,t,t,t,60,t,f,DSL,t,Yes,Yes,Yes,Yes,No,Yes,One year,t,Credit card (automatic),74.85,4456.35,f
1658-BYGOY,t,t,f,f,18,t,t,Fiber optic,t,No,No,No,No,Yes,Yes,Month-to-month,t,Electronic check,95.45,1752.55,t
8769-KKTPH,f,f,t,t,63,t,t,Fiber optic,t,Yes,No,No,No,Yes,Yes,One year,t,Credit card (automatic),99.65,6311.20,f
5067-XJQFU,t,t,t,t,66,t,t,Fiber optic,t,No,Yes,Yes,Yes,Yes,Yes,One year,t,Electronic check,108.45,7076.35,f
3957-SQXML,f,f,t,t,34,t,t,No,f,,,,,,,Two year,f,Credit card (automatic),24.95,894.30,f
5954-BDFSG,f,f,f,f,72,t,t,Fiber optic,t,No,No,Yes,Yes,Yes,Yes,Two year,t,Credit card (automatic),107.50,7853.70,f
0434-CSFON,f,f,t,f,47,t,t,Fiber optic,t,No,No,Yes,No,Yes,Yes,Month-to-month,t,Electronic check,100.50,4707.10,f
1215-FIGMP,t,f,f,f,60,t,t,Fiber optic,t,No,Yes,No,No,Yes,No,Month-to-month,t,Bank transfer (automatic),89.90,5450.70,f
0526-SXDJP,t,f,t,f,72,f,,DSL,t,Yes,Yes,Yes,No,No,No,Two year,f,Bank transfer (automatic),42.10,2962.00,f
0557-ASKVU,f,f,t,t,18,t,f,DSL,t,No,No,Yes,Yes,No,No,One year,t,Credit card (automatic),54.40,957.10,f
5698-BQJOH,f,f,f,f,9,t,t,Fiber optic,t,No,No,No,No,Yes,Yes,Month-to-month,f,Electronic check,94.40,857.25,t
5122-CYFXA,f,f,f,f,3,t,f,DSL,t,No,Yes,No,Yes,Yes,Yes,Month-to-month,t,Electronic check,75.30,244.10,f
8627-ZYGSZ,t,f,t,f,47,t,t,Fiber optic,t,No,Yes,No,No,No,No,One year,t,Electronic check,78.90,3650.35,f
3410-YOQBQ,f,f,f,f,31,t,f,DSL,t,No,Yes,Yes,Yes,Yes,Yes,Two year,f,Mailed check,79.20,2497.20,f
3170-NMYVV,f,f,t,t,50,t,f,No,f,,,,,,,Two year,f,Bank transfer (automatic),20.15,930.90,f
7410-OIEDU,t,f,f,f,10,t,f,Fiber optic,t,Yes,No,Yes,No,No,No,Month-to-month,t,Mailed check,79.85,887.35,f
2273-QCKXA,t,f,f,f,1,t,f,DSL,t,No,No,No,Yes,No,No,Month-to-month,f,Mailed check,49.05,49.05,f
0731-EBJQB,f,f,t,t,52,t,f,No,f,,,,,,,One year,t,Electronic check,20.40,1090.65,f
1891-QRQSA,t,t,t,t,64,t,t,Fiber optic,t,Yes,No,Yes,Yes,Yes,Yes,Two year,t,Bank transfer (automatic),111.60,7099.00,f
8028-PNXHQ,t,f,t,t,62,t,t,No,f,,,,,,,Two year,t,Bank transfer (automatic),24.25,1424.60,f
5630-AHZIL,f,f,f,t,3,t,f,DSL,t,Yes,No,No,Yes,No,Yes,Month-to-month,t,Bank transfer (automatic),64.50,177.40,f
2673-CXQEU,f,t,f,f,56,t,t,Fiber optic,t,Yes,Yes,Yes,No,Yes,Yes,One year,f,Electronic check,110.50,6139.50,f
6416-JNVRK,f,f,f,f,46,t,f,DSL,t,No,No,No,No,No,Yes,One year,f,Credit card (automatic),55.65,2688.85,f
5590-ZSKRV,f,f,t,t,8,t,f,DSL,t,Yes,Yes,No,No,No,No,Month-to-month,f,Mailed check,54.65,482.25,f
0191-ZHSKZ,t,t,f,f,30,t,f,DSL,t,Yes,Yes,No,No,Yes,Yes,Month-to-month,t,Electronic check,74.75,2111.30,f
3887-PBQAO,f,f,t,t,45,t,t,No,f,,,,,,,One year,t,Credit card (automatic),25.90,1216.60,f
5919-TMRGD,f,f,f,t,1,t,f,Fiber optic,t,No,No,No,No,Yes,No,Month-to-month,t,Electronic check,79.35,79.35,t
8108-UXRQN,f,f,t,t,11,f,,DSL,t,Yes,No,No,No,Yes,Yes,Month-to-month,f,Electronic check,50.55,565.35,f
9191-MYQKX,f,f,t,f,7,t,f,Fiber optic,t,No,No,Yes,No,No,No,Month-to-month,t,Bank transfer (automatic),75.15,496.90,t
9919-YLNNG,f,f,f,f,42,t,f,Fiber optic,t,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,t,Bank transfer (automatic),103.80,4327.50,f
0318-ZOPWS,f,f,t,f,49,t,f,No,f,,,,,,,Two year,t,Bank transfer (automatic),20.15,973.35,f
4445-ZJNMU,t,f,f,f,9,t,t,Fiber optic,t,No,Yes,No,No,Yes,Yes,Month-to-month,t,Credit card (automatic),99.30,918.75,f
4808-YNLEU,f,f,t,f,35,t,f,DSL,t,Yes,No,No,No,Yes,No,One year,t,Bank transfer (automatic),62.15,2215.45,f
1862-QRWPE,f,f,t,t,48,t,f,No,f,,,,,,,Two year,f,Bank transfer (automatic),20.65,1057.00,f
2796-NNUFI,f,f,t,t,46,t,f,No,f,,,,,,,Two year,t,Mailed check,19.95,927.10,f
3016-KSVCP,t,f,t,f,29,f,,DSL,t,No,No,No,No,Yes,No,Month-to-month,f,Mailed check,33.75,1009.25,f
4767-HZZHQ,t,f,t,t,30,t,f,Fiber optic,t,No,Yes,Yes,No,No,No,Month-to-month,f,Bank transfer (automatic),82.05,2570.20,f
2424-WVHPL,t,t,f,f,1,t,f,Fiber optic,t,No,No,No,Yes,No,No,Month-to-month,f,Electronic check,74.70,74.70,f
7233-PAHHL,t,f,t,t,66,t,t,DSL,t,Yes,No,Yes,Yes,Yes,Yes,Two year,t,Mailed check,84.00,5714.25,f
6067-NGCEU,f,f,f,f,65,t,t,Fiber optic,t,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,t,Credit card (automatic),111.05,7107.00,f
9848-JQJTX,t,f,f,f,72,t,t,Fiber optic,t,No,Yes,Yes,No,Yes,Yes,Two year,t,Bank transfer (automatic),100.90,7459.05,f
8637-XJIVR,f,f,f,f,12,t,t,Fiber optic,t,Yes,No,No,No,No,No,Month-to-month,t,Electronic check,78.95,927.35,t
9803-FTJCG,t,f,t,t,71,t,t,DSL,t,Yes,Yes,No,Yes,No,No,One year,t,Credit card (automatic),66.85,4748.70,f
0278-YXOOG,t,f,f,f,5,t,f,No,f,,,,,,,Month-to-month,f,Mailed check,21.05,113.85,t
3212-KXOCR,t,f,f,f,52,t,f,No,f,,,,,,,Two year,f,Bank transfer (automatic),21.00,1107.20,f
4598-XLKNJ,f,t,t,f,25,t,f,Fiber optic,t,No,Yes,Yes,No,Yes,Yes,Month-to-month,t,Electronic check,98.50,2514.50,t
6380-ARCEH,t,f,f,f,1,t,f,No,f,,,,,,,Month-to-month,f,Mailed check,20.20,20.20,f
3679-XASPY,f,f,t,t,1,t,f,No,f,,,,,,,Month-to-month,f,Electronic check,19.45,19.45,f
7123-WQUHX,t,f,f,f,38,t,t,Fiber optic,t,No,No,Yes,Yes,Yes,No,One year,f,Bank transfer (automatic),95.00,3605.60,f
5386-THSLQ,f,t,t,f,66,f,,DSL,t,No,Yes,Yes,No,Yes,No,One year,f,Bank transfer (automatic),45.55,3027.25,f
3192-NQECA,t,f,t,f,68,t,t,Fiber optic,t,No,Yes,Yes,Yes,Yes,Yes,Two year,t,Bank transfer (automatic),110.00,7611.85,t
6180-YBIQI,t,f,f,f,5,f,,DSL,t,No,No,No,No,No,No,Month-to-month,f,Mailed check,24.30,100.20,f
6728-DKUCO,f,f,t,t,72,t,t,Fiber optic,t,Yes,Yes,No,No,Yes,Yes,One year,t,Electronic check,104.15,7303.05,f
9750-BOOHV,f,f,f,f,32,f,,DSL,t,Yes,No,No,No,No,No,One year,f,Mailed check,30.15,927.65,f
8597-CWYHH,t,f,f,f,43,t,t,Fiber optic,t,No,No,No,No,Yes,Yes,One year,f,Mailed check,94.35,3921.30,f
2848-YXSMW,t,f,t,t,72,t,f,No,f,,,,,,,Two year,f,Credit card (automatic),19.40,1363.25,f
0486-HECZI,t,f,t,f,55,t,t,Fiber optic,t,Yes,Yes,No,No,Yes,No,Month-to-month,t,Electronic check,96.75,5238.90,t
4549-ZDQYY,f,f,f,f,52,t,f,DSL,t,Yes,No,Yes,Yes,No,No,One year,f,Credit card (automatic),57.95,3042.25,f
5712-AHQNN,f,f,f,f,43,t,f,Fiber optic,t,No,Yes,Yes,No,Yes,No,Month-to-month,t,Electronic check,91.65,3954.10,f
4846-WHAFZ,f,t,t,f,37,t,t,Fiber optic,t,No,No,No,No,No,No,Month-to-month,t,Electronic check,76.50,2868.15,t
5256-SKJGO,f,f,t,t,64,f,,DSL,t,No,Yes,No,Yes,Yes,Yes,Two year,t,Electronic check,54.60,3423.50,f
3071-VBYPO,t,f,t,t,3,t,f,Fiber optic,t,Yes,Yes,No,No,Yes,No,Month-to-month,f,Electronic check,89.85,248.40,f
9560-BBZXK,f,f,f,f,36,f,,DSL,t,Yes,No,No,No,No,No,Two year,f,Bank transfer (automatic),31.05,1126.35,f
5299-RULOA,f,f,t,t,10,t,t,Fiber optic,t,Yes,No,No,No,Yes,Yes,Month-to-month,t,Electronic check,100.25,1064.65,t
8402-OOOHJ,f,f,f,f,41,t,f,No,f,,,,,,,Two year,f,Mailed check,20.65,835.15,f
9445-ZUEQE,t,f,t,t,27,t,t,Fiber optic,t,No,Yes,No,Yes,No,No,Month-to-month,t,Credit card (automatic),85.20,2151.60,f
1091-SOZGA,f,f,t,t,56,t,t,Fiber optic,t,No,No,Yes,No,Yes,Yes,One year,t,Credit card (automatic),99.80,5515.45,f
2928-HLDBA,f,f,f,f,6,t,f,No,f,,,,,,,Month-to-month,f,Mailed check,20.70,112.75,f
0404-SWRVG,t,f,f,f,3,t,t,Fiber optic,t,No,No,No,No,No,No,Month-to-month,t,Electronic check,74.40,229.55,t
6497-TILVL,f,f,t,t,7,t,f,DSL,t,Yes,No,No,No,No,No,Month-to-month,f,Mailed check,50.70,350.35,f
7219-TLZHO,f,f,t,t,4,t,f,No,f,,,,,,,Month-to-month,f,Mailed check,20.85,62.90,f
4622-YNKIJ,t,f,f,f,33,t,f,Fiber optic,t,Yes,No,No,Yes,Yes,No,Two year,t,Electronic check,88.95,3027.65,f
4412-YLTKF,f,t,f,f,27,t,t,Fiber optic,t,No,No,Yes,No,No,No,Month-to-month,t,Electronic check,78.05,2135.50,t
6734-PSBAW,t,f,t,f,72,t,t,No,f,,,,,,,Two year,t,Bank transfer (automatic),23.55,1723.95,f
3930-ZGWVE,t,f,f,f,1,t,f,No,f,,,,,,,Month-to-month,f,Mailed check,19.75,19.75,f
2639-UGMAZ,t,t,f,f,71,f,,DSL,t,Yes,Yes,No,No,Yes,Yes,One year,t,Electronic check,56.45,3985.35,f
2876-GZYZC,f,f,f,f,13,t,t,Fiber optic,t,No,No,No,No,No,Yes,Month-to-month,t,Electronic check,85.95,1215.65,f
6207-WIOLX,f,f,t,t,25,f,,DSL,t,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,t,Credit card (automatic),58.60,1502.65,t
8587-XYZSF,t,f,f,f,67,t,f,DSL,t,No,No,No,Yes,No,No,Two year,f,Bank transfer (automatic),50.55,3260.10,f
3091-FYHKI,t,f,f,f,1,f,,DSL,t,No,No,No,No,No,Yes,Month-to-month,t,Electronic check,35.45,35.45,t
2372-HWUHI,t,f,f,f,2,t,f,DSL,t,No,No,No,No,No,No,Month-to-month,f,Electronic check,44.35,81.25,t
7799-LGRDP,f,f,f,f,43,t,t,No,f,,,,,,,Two year,t,Credit card (automatic),25.70,1188.20,f
7850-VWJUU,f,f,f,f,23,t,f,Fiber optic,t,Yes,No,No,No,No,No,Month-to-month,t,Bank transfer (automatic),75.00,1778.50,f
3774-VBNXY,f,f,t,t,64,t,f,No,f,,,,,,,Two year,f,Mailed check,20.20,1277.75,f
